"PID","CWV","ZSB","copri","infl_prestige","infl_dominance","rel_prestige","rel_dominance","self_prestige","self_dominance","TOPS_coer","TOPS_coll","care_rel","care_infl","tradeoff","CWV_1","CWV_2R","CWV_3","CWV_4","CWV_5R","CWV_6","CWV_7R","CWV_8","CWV_9R","CWV_10R","ZSB_1","ZSB_2","ZSB_3","ZSB_4","ZSB_5R","ZSB_6R","ZSB_7","ZSB_8R","copri_1R","copri_2R","copri_3R","copri_4","exp_infl_1","exp_infl_3","exp_infl_5R","exp_infl_7","exp_infl_10","exp_infl_13","exp_infl_15","exp_infl_2","exp_infl_4","exp_infl_6","exp_infl_8","exp_infl_9R","exp_infl_11","exp_infl_12R","exp_infl_14","exp_infl_16","exp_rel_1","exp_rel_3","exp_rel_5R","exp_rel_7","exp_rel_10","exp_rel_13","exp_rel_15","exp_rel_2","exp_rel_4","exp_rel_6","exp_rel_8","exp_rel_9R","exp_rel_11","exp_rel_12R","exp_rel_14","exp_rel_16","self_1","self_3","self_5R","self_7","self_10","self_13","self_15","self_2","self_4","self_6","self_8","self_9R","self_11","self_12R","self_14","self_16","TOPS_coer_1","TOPS_coer_2","TOPS_coer_3","TOPS_coer_4","TOPS_coer_5","TOPS_coer_6","TOPS_coer_7","TOPS_coer_8","TOPS_coer_9","TOPS_coer_10","TOPS_coll_1","TOPS_coll_2","TOPS_coll_3","TOPS_coll_4","TOPS_coll_5","TOPS_coll_6","TOPS_coll_7","TOPS_coll_8","TOPS_coll_9","TOPS_coll_10","rel_care","rel_bother","infl_care","infl_bother","elg","att_1","att_2","age","employment","race","gender","income","edu","feedback"
43,4,4,4,4.14285714285714,4,4,4,4.28571428571429,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,1,1,1,32,"Part-time","white","man","$40,001-$60,000","MA","Good"
44,2.2,1,4.5,7,3.22222222222222,5.85714285714286,1.66666666666667,5.42857142857143,1,4.6,3.2,4.5,1.5,4,3,5,1,1,2,2,2,1,2,3,1,1,1,1,1,1,1,1,4,5,4,5,7,7,7,7,7,7,7,2,1,5,2,7,1,6,4,1,7,2,7,7,6,6,6,2,1,1,2,3,1,3,1,1,6,6,6,6,5,5,4,1,1,1,1,1,1,1,1,1,5,4,5,4,3,3,5,6,6,5,3,1,2,1,3,6,5,4,3,4,5,4,2,1,1,1,1,28,"Full-time","white","woman","$160,001-$180,000","MA",""
45,3.7,3.75,3.25,6.14285714285714,2.88888888888889,5.42857142857143,2.77777777777778,6,4.55555555555556,4.8,5.6,4,4,2,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,2,4,4,4,3,3,3,6,6,6,6,7,6,6,5,2,2,2,4,5,4,1,1,5,2,7,6,6,6,6,5,1,2,2,3,4,6,1,1,5,6,6,7,6,6,6,6,5,3,4,6,7,6,2,2,5,4,5,6,4,3,6,5,4,6,6,6,5,5,6,6,6,6,6,4,5,3,5,3,1,1,1,35,"Full-time","white","man","Over $200,000","MA",""
46,2.4,2.5,5,7,3,6.57142857142857,2.33333333333333,5.57142857142857,4.55555555555556,3.5,5.6,4,2.5,4,5,3,1,2,2,1,2,1,5,2,3,3,2,2,3,2,3,2,5,5,5,5,7,7,7,7,7,7,7,5,2,3,4,4,2,3,3,1,7,7,7,7,6,5,7,4,3,3,3,2,1,3,1,1,6,5,6,6,5,5,6,6,5,5,5,4,4,5,5,2,4,3,4,2,3,1,5,4,3,6,6,5,5,3,5,6,6,6,7,7,4,4,3,2,1,1,1,42,"Full-time","white","woman","$60,001-$80,000","GED",""
47,4.1,4.25,4,3.42857142857143,2.22222222222222,4.85714285714286,2.11111111111111,4,3.77777777777778,3.7,5.3,3,2,3,3,3,4,6,5,5,3,3,5,4,5,3,3,5,5,4,5,4,3,4,4,5,1,2,4,5,5,3,4,1,1,1,1,4,1,6,3,2,4,4,7,4,4,4,7,1,1,1,1,5,1,5,1,3,5,4,4,3,3,4,5,5,3,4,5,3,3,4,4,3,3,3,5,3,3,4,3,4,5,4,6,4,6,5,5,5,6,5,6,5,3,3,2,2,1,1,1,25,"Full-time","asian","man","$60,001-$80,000","4yearColl",""
48,2.3,2.5,5.5,6,2.77777777777778,5.42857142857143,2.11111111111111,4.71428571428571,2,3.3,5.4,2.5,1,2,3,3,2,1,1,3,2,2,3,3,2,2,2,2,3,2,5,2,4,6,6,6,6,5,5,6,7,7,6,3,2,2,2,4,5,4,1,2,6,3,5,7,5,6,6,3,2,2,2,2,2,4,1,1,5,4,6,5,3,5,5,1,4,1,2,2,2,3,1,2,2,3,3,3,3,5,3,3,3,5,6,6,6,5,6,6,5,5,5,4,3,2,1,1,1,1,1,24,"Full-time","asian","woman","$60,001-$80,000","4yearColl",""
49,4.6,4.125,2.25,7,3.22222222222222,6.85714285714286,2.44444444444444,6.57142857142857,3.88888888888889,4.1,6.2,5,4.5,4,6,3,4,6,2,5,4,2,7,7,2,4,6,2,4,5,6,4,3,3,2,1,7,7,7,7,7,7,7,3,2,5,5,4,2,4,3,1,7,6,7,7,7,7,7,3,1,2,2,3,3,4,3,1,6,7,7,7,6,7,6,4,5,5,5,1,4,6,3,2,6,5,4,3,5,3,6,2,2,5,6,7,5,6,7,7,7,6,6,5,5,5,5,4,1,1,1,31,"Full-time","multiracial","man","$80,001-$100,000","PHD","I don't have any further comments, thanks."
50,2.3,3.25,5,6.14285714285714,4.22222222222222,5.14285714285714,2,4.42857142857143,1.44444444444444,4,5.5,3,1,3,3,4,2,2,2,2,2,1,3,2,2,5,3,3,7,2,2,2,5,5,5,5,6,5,7,6,6,7,6,4,5,5,5,4,3,5,5,2,5,5,5,6,5,5,5,2,1,2,2,1,3,4,1,2,4,5,6,4,3,5,4,1,1,2,1,2,2,1,1,2,2,5,5,3,3,5,5,3,6,3,5,6,6,5,4,7,5,6,6,5,3,3,1,1,1,1,1,53,"Full-time","white","man","$60,001-$80,000","2yearColl",""
51,3.8,4.25,3.5,5.42857142857143,4.88888888888889,4.57142857142857,4.11111111111111,4.28571428571429,4.33333333333333,5,5.4,2.5,2.5,4,5,3,5,5,2,5,3,6,2,2,5,5,5,5,3,3,5,3,3,3,3,5,6,6,2,6,6,6,6,6,6,5,6,2,6,3,5,5,5,5,3,5,5,6,3,5,5,3,5,5,5,3,3,3,4,4,4,5,4,4,5,4,4,3,4,6,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,3,5,6,5,6,6,6,6,6,3,2,3,2,1,1,1,36,"Part-time","white","man","$60,001-$80,000","2yearColl",""
52,1.2,1,7,6.85714285714286,1.33333333333333,6.57142857142857,1.11111111111111,6,2,1,7,5,3,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,7,7,7,7,7,6,7,7,7,7,7,2,1,1,1,1,1,3,1,1,7,4,7,7,7,7,7,1,1,1,1,1,1,2,1,1,6,5,7,6,6,6,6,4,1,1,1,2,1,6,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,5,5,3,3,1,1,1,48,"Full-time","multiracial","woman","$140,001-$160,000","MA",""
53,2.3,2.5,4.5,6.42857142857143,1.88888888888889,4.42857142857143,1.44444444444444,3.57142857142857,1.77777777777778,3,5.8,3.5,1,5,2,2,2,2,2,2,2,1,4,4,2,2,2,2,6,2,2,2,6,4,4,4,7,5,6,7,6,7,7,1,1,1,1,4,1,4,1,3,5,4,4,4,4,4,6,1,3,1,1,2,1,1,1,2,3,4,5,3,2,4,4,1,3,2,2,2,2,1,1,2,2,4,4,2,1,4,5,2,2,4,6,6,6,6,6,6,6,6,6,4,4,3,1,1,1,1,1,49,"Full-time","white","man","$40,001-$60,000","4yearColl",""
54,3.7,6,1.5,6.85714285714286,1.77777777777778,6.85714285714286,2.33333333333333,5.85714285714286,4.44444444444444,5.1,4.6,5,5,2,6,6,2,2,2,7,2,2,2,6,6,6,6,6,6,6,6,6,1,2,1,2,7,6,7,7,7,7,7,2,2,1,2,1,1,4,2,1,6,7,7,7,7,7,7,2,7,2,2,1,1,4,1,1,6,7,6,7,7,2,6,7,5,3,3,5,6,6,3,2,7,6,6,6,1,5,1,7,6,6,6,3,6,6,2,6,6,6,2,3,5,5,5,5,1,1,1,30,"Full-time","black","woman","$40,001-$60,000","GED",""
55,3.8,4.75,3.25,5.57142857142857,3.88888888888889,5,3,5.28571428571429,2.22222222222222,5.5,5.3,4,1.5,4,5,5,5,6,1,5,2,3,3,3,7,6,5,5,2,2,6,5,3,2,3,5,5,4,6,6,6,6,6,3,6,3,3,6,3,6,2,3,6,3,6,5,3,6,6,2,2,2,3,6,3,6,1,2,5,5,7,4,4,6,6,2,3,2,2,3,2,3,2,1,5,6,6,6,5,6,5,5,5,6,5,6,6,6,5,3,6,5,5,6,4,4,1,2,1,1,1,38,"Full-time","white","woman","$60,001-$80,000","4yearColl",""
56,4.1,5.375,2.75,6.14285714285714,3.33333333333333,6.14285714285714,2.33333333333333,5.42857142857143,3.66666666666667,4.2,5,3.5,2,2,5,4,4,5,3,7,5,2,3,3,5,5,7,5,5,6,5,5,3,3,3,2,7,5,6,6,6,7,6,3,2,1,3,5,5,5,5,1,7,5,6,7,5,6,7,2,2,1,3,3,3,3,2,2,5,4,6,4,6,7,6,3,2,5,4,5,4,3,4,3,5,3,4,5,2,5,3,5,3,7,6,5,4,4,5,7,5,6,5,3,3,4,2,2,1,1,1,32,"Part-time","white","woman","$60,001-$80,000","2yearColl",""
57,3.5,4.125,3,5.28571428571429,3.22222222222222,5,2.22222222222222,5.14285714285714,2.33333333333333,4.8,4.5,2.5,1,2,7,3,3,2,4,3,3,5,2,3,4,5,4,3,3,3,6,5,4,2,2,4,6,5,6,5,3,7,5,3,3,2,2,5,4,5,3,2,5,1,7,5,5,7,5,2,2,1,1,2,3,6,1,2,5,6,6,5,5,5,4,3,2,2,1,1,3,4,3,2,4,5,4,5,5,4,6,3,6,6,2,5,4,5,5,5,5,4,5,5,3,2,1,1,1,1,1,24,"Full-time","asian","man","$60,001-$80,000","4yearColl",""
58,2.2,2.125,5.25,7,2.77777777777778,6.71428571428571,1.11111111111111,6.71428571428571,2.88888888888889,2.2,5.8,4,3,2,2,2,2,3,2,3,1,1,4,2,2,2,1,1,2,2,5,2,5,6,5,5,7,7,7,7,7,7,7,3,1,2,3,4,3,6,2,1,7,5,7,7,7,7,7,1,1,1,1,1,2,1,1,1,7,7,7,7,7,5,7,4,4,2,3,4,3,4,1,1,2,2,3,2,1,3,1,2,1,5,6,4,6,5,6,6,6,5,7,7,4,4,3,3,1,1,1,33,"Full-time","asian","man","$180,001-$200,000","4yearColl",""
59,3.9,3.375,3,6.42857142857143,4.22222222222222,6.28571428571429,3.66666666666667,5.71428571428571,4.44444444444444,3.4,4.6,3.5,3.5,4,5,5,3,3,3,5,4,2,4,5,2,6,2,2,6,2,5,2,3,3,3,3,7,6,7,6,7,6,6,5,5,5,3,4,6,4,2,4,6,7,7,6,6,6,6,4,3,3,2,4,6,7,2,2,5,6,6,5,6,6,6,4,5,5,4,6,5,6,3,2,3,4,3,3,3,3,5,3,4,3,4,4,5,5,4,5,4,5,5,5,4,3,4,3,1,1,1,38,"Full-time","white","man","Over $200,000","4yearColl","thanks"
60,2.5,3.125,5,6.57142857142857,2,5.85714285714286,2,4.85714285714286,1.55555555555556,2.5,6.3,3,1,1,5,2,1,2,1,3,2,1,3,5,3,3,3,3,5,2,3,3,6,5,5,4,7,6,7,6,6,7,7,3,1,2,1,2,1,5,2,1,7,3,6,6,6,7,6,3,1,3,1,2,2,3,1,2,5,6,4,5,5,4,5,1,2,2,1,2,2,2,1,1,2,3,3,2,2,3,3,3,2,2,7,6,6,7,7,7,5,6,6,6,3,3,1,1,1,1,1,28,"Full-time","white","woman","$40,001-$60,000","GED",""
61,4,4.75,2.5,4.42857142857143,4.11111111111111,5.42857142857143,2.55555555555556,5.28571428571429,2.22222222222222,5.2,4.2,3,2,3,6,5,3,5,4,4,3,5,3,2,5,4,4,5,5,4,6,5,2,2,2,4,4,4,4,5,2,6,6,4,3,5,4,4,4,4,5,4,6,5,7,6,6,4,4,3,3,5,3,1,2,2,2,2,6,7,6,7,3,4,4,2,1,2,1,4,3,4,1,2,5,5,5,5,5,5,5,5,6,6,4,4,5,3,5,4,5,6,4,2,3,3,2,2,1,1,1,29,"Full-time","white","man","$60,001-$80,000","MA",""
62,2.8,3.125,4.75,6.14285714285714,2,6,1.77777777777778,6,2.77777777777778,3.2,5.5,2,2,1,4,2,1,2,2,6,1,2,2,6,2,2,2,2,6,4,5,2,4,7,2,6,7,4,7,6,7,6,6,2,1,2,2,4,1,4,1,1,6,4,7,5,7,7,6,1,1,1,2,4,1,4,1,1,6,4,7,6,6,6,7,5,1,1,4,4,2,6,1,1,2,5,2,3,2,2,2,2,6,6,6,7,4,6,4,7,6,4,6,5,3,1,1,3,1,1,1,33,"Full-time","white","man","$20,001-$40,000","2yearColl",""
63,4,2,4,6.85714285714286,2.44444444444444,6.14285714285714,1.66666666666667,5.42857142857143,1.88888888888889,4,4,5,1,2,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,4,4,4,4,7,6,7,7,7,7,7,1,1,3,4,4,1,4,3,1,7,4,7,7,6,6,6,1,1,4,1,4,1,1,1,1,6,4,6,6,4,6,6,1,2,4,4,2,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,1,1,1,1,1,36,"Full-time","white","man","$40,001-$60,000","2yearColl",""
64,1.5,5.875,2.75,6.85714285714286,3.22222222222222,6.14285714285714,1.11111111111111,6.57142857142857,1.44444444444444,7,1.6,4,1,4,2,2,1,1,1,4,1,1,1,1,6,7,7,7,1,6,7,6,3,3,3,2,7,6,7,7,7,7,7,1,2,4,3,7,4,2,4,2,7,2,7,7,7,7,6,1,1,1,1,2,1,1,1,1,7,4,7,7,7,7,7,1,2,1,2,3,1,1,1,1,7,7,7,7,7,7,7,7,7,7,2,1,1,1,1,1,1,5,2,1,4,4,1,1,1,1,1,58,"Other","white","woman","$0-$20,000","GED",""
65,1,2.25,6.75,6.57142857142857,2.44444444444444,4.71428571428571,1.66666666666667,3.28571428571429,2.11111111111111,1.5,6.5,4.5,3.5,3,1,1,1,1,1,1,1,1,1,1,2,2,2,2,4,2,2,2,7,6,7,7,7,6,6,7,7,7,6,3,2,2,2,4,2,4,1,2,6,2,6,2,5,6,6,1,2,1,1,3,2,3,1,1,3,3,4,3,4,3,3,2,2,1,2,4,2,4,1,1,1,1,2,1,1,2,2,2,1,2,6,7,7,7,7,7,6,6,6,6,5,4,4,3,1,1,1,70,"Full-time","white","man","$20,001-$40,000","GED","none"
66,3.3,3.5,3.75,6.57142857142857,2.44444444444444,6.71428571428571,2.11111111111111,3.42857142857143,1.88888888888889,4.4,4.7,4,1.5,2,5,3,2,3,3,4,2,4,3,4,4,3,4,4,3,3,5,2,4,4,3,4,7,5,7,7,6,7,7,5,1,2,2,2,3,3,2,2,7,7,7,7,7,6,6,4,2,1,1,2,3,2,2,2,4,4,5,4,4,2,1,2,1,2,1,3,2,3,1,2,4,3,5,4,5,4,5,5,5,4,5,5,5,3,4,5,6,4,5,5,4,4,1,2,1,1,1,39,"Full-time","black","woman","$100,001-$120,000","4yearColl",""
67,2.5,3.25,5.75,5.42857142857143,2.66666666666667,5.28571428571429,2.44444444444444,3.14285714285714,1.55555555555556,3.3,5,3.5,1,2,2,2,2,2,3,3,3,2,3,3,3,3,3,3,5,3,3,3,6,6,6,5,5,3,6,6,6,6,6,2,2,2,2,4,3,4,3,2,5,3,6,6,6,5,6,2,2,2,2,4,2,3,3,2,3,1,7,3,3,2,3,1,1,1,1,3,1,3,1,2,3,3,3,3,3,3,3,3,4,5,5,5,5,5,5,5,5,5,5,5,4,3,1,1,1,1,1,63,"Part-time","white","woman","$0-$20,000","2yearColl",""
68,1.4,2.5,4.75,6.57142857142857,2.66666666666667,5.71428571428571,1.88888888888889,6.71428571428571,2.33333333333333,2.6,6.4,4.5,3,3,1,2,1,1,1,2,1,1,2,2,2,4,2,2,4,2,2,2,4,6,4,5,7,4,7,7,7,7,7,4,1,2,4,4,1,4,2,2,6,1,7,6,6,7,7,4,1,1,1,2,1,4,1,2,7,5,7,7,7,7,7,5,1,1,1,4,1,6,1,1,2,4,4,2,2,2,2,2,2,4,6,7,6,5,7,7,7,6,7,6,4,5,3,3,1,1,1,NA,"Full-time","white","man","$60,001-$80,000","4yearColl",""
69,1.4,3.75,7,6.28571428571429,1.22222222222222,6,1.88888888888889,6.14285714285714,1.66666666666667,2.8,5.3,4.5,3,1,1,1,1,1,1,2,1,1,3,2,4,4,4,4,4,3,4,3,7,7,7,7,7,5,7,7,6,5,7,1,1,1,1,2,1,2,1,1,7,4,7,7,4,6,7,2,1,1,1,3,2,4,1,2,6,6,7,6,6,6,6,1,1,1,1,2,3,4,1,1,2,2,2,3,2,3,3,4,2,5,6,5,6,5,5,5,5,5,6,5,4,5,2,4,1,1,1,72,"Full-time","white","man","$40,001-$60,000","2yearColl",""
70,1.2,1,7,7,3,7,2.66666666666667,7,4.33333333333333,1,7,4,4,5,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,1,1,7,1,4,4,1,1,7,7,7,7,7,7,7,4,1,1,4,1,4,7,1,1,7,7,7,7,7,7,7,7,1,1,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,5,3,5,3,1,1,1,33,"Full-time","black","woman","Over $200,000","PHD",""
71,4.5,4.625,3.5,5.71428571428571,3.77777777777778,6.14285714285714,4.44444444444444,6.85714285714286,4,6,6,5,3.5,2,6,2,6,6,3,6,4,6,3,3,5,5,7,3,5,1,5,6,2,6,1,5,6,6,6,4,6,5,7,2,6,1,2,4,7,7,3,2,6,6,7,7,6,6,5,7,6,6,6,2,5,4,3,1,7,7,7,7,7,6,7,4,7,3,2,3,5,4,7,1,6,7,6,7,6,5,6,6,7,4,6,7,6,5,7,4,7,4,7,7,5,5,4,3,1,1,1,44,"Full-time","white","woman","$160,001-$180,000","PHD",""
72,1.4,2.5,4.5,6.42857142857143,2.11111111111111,6.42857142857143,2.11111111111111,5.42857142857143,2,1.9,6.9,4.5,3,1,1,1,1,1,1,3,1,1,1,3,1,4,1,3,4,3,1,3,5,5,4,4,7,6,7,7,6,6,6,4,1,1,4,1,2,4,1,1,7,6,7,7,6,6,6,2,1,1,4,2,2,4,1,2,6,4,7,5,6,4,6,4,1,1,1,1,1,7,1,1,1,2,1,2,1,2,2,2,2,4,7,7,7,7,7,7,7,6,7,7,4,5,3,3,1,1,1,51,"Full-time","black","woman","$80,001-$100,000","MA",""
73,4.3,4,3.5,5.14285714285714,4.77777777777778,4.85714285714286,4.88888888888889,5.42857142857143,5.11111111111111,5.6,6.1,3.5,3.5,4,5,1,6,6,3,7,4,6,3,2,5,6,6,4,3,1,4,3,4,1,3,6,6,7,2,5,6,4,6,6,4,6,5,4,3,3,5,7,5,6,1,7,4,5,6,6,5,6,6,3,6,1,5,6,6,6,2,7,7,6,4,5,5,6,5,3,6,3,6,7,6,6,7,5,5,4,7,5,6,5,6,6,5,7,7,6,7,6,6,5,3,4,4,3,1,1,1,33,"Full-time","white","woman","$60,001-$80,000","MA","nice"
74,2.9,3,4.25,6.28571428571429,4.77777777777778,6,2.55555555555556,5,3.44444444444444,3.9,5.2,4,2.5,2,4,4,2,2,3,4,2,2,3,3,2,2,3,3,6,3,2,3,4,4,4,5,7,5,6,7,6,7,6,5,6,5,5,5,5,6,4,2,6,4,6,6,6,7,7,3,2,2,3,4,2,4,2,1,6,4,6,5,4,5,5,3,3,3,3,5,3,5,4,2,4,5,4,3,3,4,4,4,4,4,6,5,5,5,4,5,6,5,6,5,4,4,3,2,1,1,1,35,"Full-time","multiracial","man","$40,001-$60,000","4yearColl",""
75,2.1,2.875,4.75,6.85714285714286,2.33333333333333,6.57142857142857,1.22222222222222,6.57142857142857,2.11111111111111,2,6.7,5,2,2,3,1,1,1,1,4,5,1,2,2,3,3,1,3,2,2,7,2,5,5,4,5,7,6,7,7,7,7,7,2,1,2,4,2,4,4,1,1,7,4,7,7,7,7,7,1,1,1,1,1,1,3,1,1,7,7,7,7,7,4,7,4,1,1,1,1,2,7,1,1,1,1,2,1,1,1,3,2,2,6,7,7,7,7,6,7,7,7,6,6,5,5,3,1,1,1,1,48,"Part-time","white","woman","$100,001-$120,000","GED",""
76,2.7,3.75,3.25,6,3.11111111111111,6.71428571428571,3,7,2.11111111111111,4.7,5.7,4,2.5,2,5,1,2,2,1,5,3,3,2,3,4,3,4,4,3,4,4,4,3,3,3,4,7,5,6,6,6,5,7,5,3,2,2,3,6,4,1,2,7,6,6,7,7,7,7,4,4,3,3,3,3,4,2,1,7,7,7,7,7,7,7,2,2,1,1,2,3,4,2,2,4,5,5,4,4,5,5,5,5,5,6,5,5,4,6,7,6,5,7,6,5,3,3,2,1,1,1,46,"Full-time","asian","man","$100,001-$120,000","PHD",""
77,1.1,2,7,6.28571428571429,3.77777777777778,6.28571428571429,2.55555555555556,5.42857142857143,2.44444444444444,4.4,6.1,4.5,1.5,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,7,7,7,7,7,6,7,6,6,6,6,5,5,2,2,3,4,5,2,6,7,5,6,6,7,7,6,3,1,2,2,3,5,5,1,1,5,5,5,5,6,6,6,3,3,3,3,2,2,3,1,2,6,5,5,2,2,5,5,2,5,7,6,7,6,7,5,6,6,5,6,7,4,5,2,1,1,1,1,49,"Part-time","white","man","$20,001-$40,000","2yearColl",""
78,1.1,1,7,6.85714285714286,1.77777777777778,5.71428571428571,2,5.57142857142857,2.55555555555556,1.4,7,5,2.5,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,7,7,7,7,7,6,7,7,7,7,7,2,3,1,3,2,1,2,1,1,6,3,5,6,7,6,7,2,2,1,3,2,2,4,1,1,5,5,7,5,6,4,7,5,4,2,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,5,7,7,7,7,7,7,7,7,7,7,5,5,3,2,1,1,1,33,"Full-time","white","woman","$40,001-$60,000","4yearColl",""
79,3.5,4.5,3.5,6.28571428571429,2.77777777777778,5.57142857142857,2.22222222222222,5.14285714285714,2.88888888888889,4.7,3.8,3,2.5,3,4,4,2,3,3,5,3,3,5,3,5,5,5,5,2,5,5,4,5,4,3,2,7,5,7,6,6,7,6,4,2,2,3,3,3,4,2,2,6,4,6,5,5,6,7,4,3,1,2,2,2,3,1,2,5,5,6,6,5,5,4,4,3,2,2,2,4,5,2,2,5,5,6,4,5,5,3,4,5,5,4,3,5,3,3,4,5,3,5,3,3,3,3,2,1,1,1,35,"Full-time","white","man","$40,001-$60,000","GED",""
80,2.9,3,5,6,2.55555555555556,5.71428571428571,2,4.71428571428571,3,3.3,5.1,4,2,3,1,5,3,4,2,2,3,3,3,3,2,3,1,2,7,2,5,2,6,5,5,4,6,6,6,5,6,6,7,5,2,4,3,2,3,2,1,1,6,3,6,5,7,6,7,3,3,1,1,1,3,3,1,2,5,4,7,4,4,5,4,3,4,1,2,5,4,6,1,1,1,5,5,3,2,3,3,3,2,6,6,4,6,3,3,6,6,6,7,4,4,4,2,2,1,1,1,38,"Full-time","white","man","$60,001-$80,000","4yearColl",""
81,1.2,2,5,6.14285714285714,2,6.14285714285714,1.88888888888889,4.71428571428571,1,2.5,6,5,1,1,1,3,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,5,6,3,6,7,3,5,7,7,7,7,4,1,1,4,1,1,4,1,1,7,3,5,7,7,7,7,2,1,1,4,1,2,4,1,1,6,1,7,6,4,3,6,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,2,2,6,6,6,6,6,6,6,6,6,6,6,5,5,1,1,1,1,1,61,"Full-time","white","woman","$40,001-$60,000","GED",""
82,1.2,1.75,7,6.57142857142857,1.77777777777778,5.71428571428571,1.77777777777778,5.71428571428571,1,4,6.3,5,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,7,1,7,7,7,7,7,4,7,7,7,7,7,1,1,1,4,5,1,1,1,1,7,1,4,7,7,7,7,1,1,1,4,4,1,2,1,1,5,4,5,5,7,7,7,1,1,1,1,1,1,1,1,1,1,2,6,5,1,5,5,4,4,7,7,7,2,7,7,7,7,7,7,5,5,5,1,1,1,1,1,42,"Full-time","white","man","$80,001-$100,000","2yearColl","I enjoyed this study, thank you for having me!"
83,1.7,4,4.75,6.85714285714286,2.88888888888889,5.57142857142857,1.22222222222222,5.71428571428571,1.55555555555556,3.4,4.9,5,2,1,2,1,1,1,1,3,2,1,2,3,4,4,4,4,4,4,4,4,5,5,5,4,7,6,7,7,7,7,7,3,3,4,3,4,2,4,2,1,6,3,7,6,6,5,6,2,1,1,2,1,1,1,1,1,6,6,7,5,5,5,6,1,1,1,1,1,1,6,1,1,5,2,5,3,3,5,1,3,2,5,5,6,4,3,7,4,6,5,6,3,5,5,2,2,1,1,1,33,"Full-time","white","woman","$40,001-$60,000","GED",""
84,2,5.375,7,6.14285714285714,4.55555555555556,5.57142857142857,2.88888888888889,3.85714285714286,1.22222222222222,4.1,4.1,3,1,1,2,1,1,1,2,2,2,1,4,4,5,6,6,6,6,4,6,4,7,7,7,7,7,5,7,6,6,6,6,4,4,5,5,5,6,4,6,2,6,5,6,7,5,5,5,4,2,4,2,3,3,4,2,2,4,1,7,4,1,7,3,1,3,1,1,1,1,1,1,1,2,2,5,1,2,6,3,7,6,7,6,4,7,2,4,4,4,6,2,2,3,3,1,1,1,1,1,28,"Full-time","asian","man","$40,001-$60,000","GED",""
85,4.3,3.875,3.75,3.71428571428571,4.33333333333333,4.42857142857143,4.11111111111111,4.42857142857143,4.44444444444444,3.7,4,3.5,2,2,5,5,4,4,5,4,4,4,4,4,4,3,3,5,5,5,3,3,5,3,4,3,3,3,4,4,3,5,4,5,5,5,3,3,5,5,3,5,4,5,4,5,3,5,5,5,4,5,3,5,5,4,3,3,5,5,3,5,5,4,4,5,5,5,6,3,4,3,4,5,5,3,5,3,3,3,4,4,4,3,5,5,4,4,3,3,3,3,5,5,4,3,2,2,0,0,1,26,"Full-time","white","man","$60,001-$80,000","4yearColl",""
86,1.2,1.375,5.5,6.14285714285714,1.33333333333333,6,1.33333333333333,4.85714285714286,1.66666666666667,2.2,6,4,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,2,1,2,6,6,5,5,7,4,6,7,6,7,6,1,1,1,1,1,1,3,1,2,7,5,4,7,6,6,7,1,1,1,1,2,1,2,1,2,5,4,5,5,5,5,5,2,1,1,2,2,1,2,1,3,1,1,1,2,1,2,1,3,5,5,6,6,6,6,6,6,6,6,6,6,4,4,1,1,0,1,1,68,"Retired","white","man","$0-$20,000","GED",""
87,2.4,2,5,7,4.33333333333333,6.42857142857143,1.44444444444444,6.57142857142857,2.88888888888889,4.3,4,3.5,1.5,4,5,2,1,2,2,3,2,1,3,3,2,3,2,2,1,2,2,2,6,5,4,5,7,7,7,7,7,7,7,5,5,5,5,5,3,5,5,1,7,3,7,7,7,7,7,1,1,1,1,2,1,4,1,1,6,6,7,6,7,7,7,2,3,2,2,5,5,2,2,3,3,3,6,3,2,3,5,6,5,7,6,3,3,3,5,4,6,4,3,3,3,4,2,1,1,1,1,30,"Full-time","white","man","$180,001-$200,000","4yearColl",""
